 origin | dest | distance | vuelos 
 ORD    | CMH  |   296.00 |   1022
 ORD    | COS  |   911.00 |    168
 ORD    | CRW  |   416.00 |    142
 ORD    | CVG  |   264.00 |   1268
 ORD    | DAY  |   240.00 |    794
 ORD    | DCA  |   612.00 |   1603
 ORD    | DEN  |   888.00 |   1826
 ORD    | DFW  |   802.00 |   1533
 ORD    | DSM  |   299.00 |    816
 ORD    | DTW  |   235.00 |   1675
 ORD    | EWR  |   719.00 |   2843
 ORD    | FLL  |  1182.00 |    317
 ORD    | FSD  |   462.00 |    175
 ORD    | FWA  |   157.00 |    241
 ORD    | GEG  |  1498.00 |     90
 ORD    | GRR  |   137.00 |    895
 ORD    | GSO  |   590.00 |    400
 ORD    | GUC  |  1031.00 |      2
 ORD    | HDN  |  1009.00 |     15
 ORD    | HNL  |  4243.00 |    221
 ORD    | HPN  |   738.00 |    161
 ORD    | IAD  |   589.00 |    613
 ORD    | IAH  |   925.00 |   1005
 ORD    | ICT  |   588.00 |    492
 ORD    | IND  |   177.00 |    866
 ORD    | ISP  |   773.00 |    222
 ORD    | JAC  |  1162.00 |     12
 ORD    | JAN  |   677.00 |     56
 ORD    | JAX  |   865.00 |    146
 ORD    | JFK  |   740.00 |    254
 ORD    | LAS  |  1515.00 |   1001
 ORD    | LAX  |  1745.00 |   1627
 ORD    | LEX  |   323.00 |    320
 ORD    | LGA  |   733.00 |   1976
 ORD    | LGB  |  1735.00 |    330
 ORD    | LIT  |   552.00 |     56
 ORD    | LNK  |   466.00 |    253
 ORD    | MBS  |   222.00 |    245
 ORD    | MCI  |   403.00 |   1058
 ORD    | MCO  |  1005.00 |    511
 ORD    | MDT  |   594.00 |    402
 ORD    | MDW  |    16.00 |      2
 ORD    | MEM  |   491.00 |    826
 ORD    | MHT  |   843.00 |     89
 ORD    | MIA  |  1197.00 |    582
 ORD    | MKE  |    67.00 |    401
 ORD    | MSP  |   334.00 |   2081
 ORD    | MSY  |   837.00 |    435
 ORD    | OAK  |  1835.00 |    293
 ORD    | OGG  |  4184.00 |     86
 ORD    | OKC  |   693.00 |    405
 ORD    | OMA  |   416.00 |    833
 ORD    | ONT  |  1700.00 |    419
 ORD    | ORF  |   717.00 |    421
 ORD    | PBI  |  1144.00 |    175
 ORD    | PDX  |  1739.00 |    506
 ORD    | PHL  |   678.00 |   1282
 ORD    | PHX  |  1440.00 |   1179
 ORD    | PIT  |   412.00 |   1438
 ORD    | PSP  |  1652.00 |    114
 ORD    | PVD  |   849.00 |    519
 ORD    | PWM  |   900.00 |    175
 ORD    | RDU  |   647.00 |    517
 ORD    | RIC  |   642.00 |    467
 ORD    | RNO  |  1671.00 |    171
 ORD    | ROA  |   531.00 |     81
 ORD    | ROC  |   528.00 |    834
 ORD    | RSW  |  1120.00 |    186
 ORD    | SAN  |  1723.00 |    839
 ORD    | SAT  |  1041.00 |    195
 ORD    | SBA  |  1803.00 |     28
 ORD    | SDF  |   286.00 |    589
 ORD    | SEA  |  1721.00 |    852
 ORD    | SFO  |  1846.00 |   1262
 ORD    | SJC  |  1829.00 |    422
 ORD    | SJU  |  2072.00 |    136
 ORD    | SLC  |  1249.00 |    855
 ORD    | SMF  |  1781.00 |    507
 ORD    | SNA  |  1726.00 |    419
 ORD    | SRQ  |  1050.00 |    119
 ORD    | STL  |   258.00 |   1780
 ORD    | SUX  |   436.00 |     58
 ORD    | SYR  |   607.00 |    744
 ORD    | TPA  |  1012.00 |    319
 ORD    | TUL  |   585.00 |    410
 ORD    | TUS  |  1437.00 |    350
 ORD    | TYS  |   475.00 |     58
 ORF    | ATL  |   516.00 |    996
 ORF    | BOS  |   468.00 |    160
 ORF    | BWI  |   159.00 |    445
 ORF    | CHA  |   520.00 |      1
 ORF    | CHS  |   351.00 |    242
 ORF    | CLT  |   290.00 |    630
 ORF    | CVG  |   485.00 |    179
 ORF    | DCA  |   142.00 |    172
 ORF    | DFW  |  1213.00 |    175
 ORF    | EWR  |   284.00 |    860
 ORF    | IAD  |   157.00 |    113
 ORF    | ILM  |   205.00 |     36
 ORF    | JAX  |   543.00 |     72
 ORF    | JFK  |   289.00 |     88
 ORF    | LGA  |   296.00 |    495
 ORF    | MCO  |   655.00 |     80
 ORF    | MYR  |   270.00 |     56
 ORF    | ORD  |   717.00 |    432
 ORF    | PHL  |   211.00 |    459
 ORF    | PIT  |   330.00 |    363
 ORF    | RDU  |   160.00 |    519
 ORF    | RIC  |    75.00 |    251
 ORF    | STL  |   784.00 |    167
 ORH    | BWI  |   330.00 |    323
 ORH    | EWR  |   161.00 |    251
 OTZ    | ANC  |   549.00 |    112
 OTZ    | OME  |   183.00 |     77
 PBI    | ATL  |   545.00 |    956
 PBI    | BDL  |  1133.00 |     17
 PBI    | BOS  |  1197.00 |    109
 PBI    | BWI  |   883.00 |     84
 PBI    | CVG  |   892.00 |    177
 PBI    | DCA  |   857.00 |    179
 PBI    | DFW  |  1103.00 |    176
 PBI    | DTW  |  1087.00 |    167
 PBI    | EWR  |  1024.00 |    438
 PBI    | FLL  |    42.00 |    357
 PBI    | IAD  |   859.00 |    239
 PBI    | IAH  |   956.00 |    154
 PBI    | JFK  |  1028.00 |    158
 PBI    | LGA  |  1035.00 |    549
 PBI    | MCO  |   142.00 |    512
 PBI    | MEM  |   822.00 |     12
 PBI    | MIA  |    62.00 |     54
 PBI    | ORD  |  1144.00 |    169
 PBI    | PHL  |   951.00 |    368
 PBI    | PIT  |   952.00 |    256
 PBI    | RDU  |   638.00 |    269
 PBI    | RSW  |   103.00 |    116
 PBI    | SRQ  |   159.00 |    141
 PBI    | STL  |  1023.00 |     95
 PBI    | TPA  |   174.00 |    122
 PDX    | ANC  |  1542.00 |     86
 PDX    | ATL  |  2172.00 |     74
 PDX    | BUR  |   817.00 |     85
 PDX    | CVG  |  1975.00 |     87
 PDX    | DEN  |   992.00 |    575
 PDX    | DFW  |  1616.00 |    357
 PDX    | EUG  |   106.00 |    168
 PDX    | GEG  |   279.00 |    238
 PDX    | LAS  |   762.00 |    258
 PDX    | LAX  |   834.00 |    820
 PDX    | LGB  |   846.00 |    168
 PDX    | MSP  |  1426.00 |    176
 PDX    | OAK  |   543.00 |    485
 PDX    | ONT  |   838.00 |     84
 PDX    | ORD  |  1739.00 |    512
 PDX    | PHX  |  1009.00 |    279
 PDX    | RNO  |   444.00 |    201
 PDX    | SEA  |   129.00 |   2479
 PDX    | SFO  |   550.00 |   1380
 PDX    | SJC  |   569.00 |    655
 PDX    | SLC  |   630.00 |    417
 PDX    | SMF  |   479.00 |     85
 PDX    | SNA  |   859.00 |     74
 PDX    | STL  |  1708.00 |     91
 PFN    | MEM  |   417.00 |    160
 PHF    | IAD  |   135.00 |     59
 PHF    | PIT  |   308.00 |    178
 PHF    | RIC  |    52.00 |     30
 PHL    | ABE  |    55.00 |     20
 PHL    | ALB  |   212.00 |    303
 PHL    | ATL  |   665.00 |   1275
 PHL    | AVP  |   105.00 |     79
 PHL    | BDL  |   196.00 |    650
 PHL    | BNA  |   675.00 |    430
 PHL    | BOS  |   280.00 |   1692
 PHL    | BTV  |   336.00 |     87
 PHL    | BUF  |   279.00 |    262
 PHL    | BWI  |    90.00 |    252
 PHL    | CLE  |   363.00 |    411
 PHL    | CLT  |   448.00 |    455
 PHL    | CMH  |   405.00 |    158
 PHL    | CVG  |   507.00 |    603
 PHL    | DAY  |   477.00 |    430
 PHL    | DEN  |  1557.00 |    371
 PHL    | DFW  |  1302.00 |    614
 PHL    | DTW  |   453.00 |    756
 PHL    | EWR  |    81.00 |     17
 PHL    | FLL  |   992.00 |    525
 PHL    | GSO  |   365.00 |     77
 PHL    | IAD  |   134.00 |     85
 PHL    | IAH  |  1324.00 |    386
 PHL    | IND  |   587.00 |    240
 PHL    | JAX  |   742.00 |    164
 PHL    | JFK  |    94.00 |    119
 PHL    | LAX  |  2401.00 |    231
 PHL    | LGA  |    96.00 |    155
 PHL    | MCI  |  1038.00 |    169
 PHL    | MCO  |   861.00 |    848
 PHL    | MEM  |   874.00 |    232
 PHL    | MHT  |   290.00 |    165
 PHL    | MIA  |  1013.00 |    391
 PHL    | MSP  |   980.00 |    413
 PHL    | MSY  |  1088.00 |     88
 PHL    | ORD  |   678.00 |   1322
 PHL    | ORF  |   211.00 |    454
 PHL    | PBI  |   951.00 |    368
 PHL    | PIT  |   267.00 |   1045
 PHL    | PVD  |   238.00 |    351
 PHL    | PWM  |   365.00 |    178
 PHL    | RDU  |   336.00 |    533
 PHL    | RIC  |   198.00 |    258
 PHL    | ROC  |   257.00 |    415
 PHL    | RSW  |   992.00 |    237
 PHL    | SJU  |  1576.00 |    187
 PHL    | SRQ  |   956.00 |     84
 PHL    | STL  |   813.00 |    405
 PHL    | SYR  |   228.00 |    491
 PHL    | TPA  |   920.00 |    570
 PHX    | ABQ  |   328.00 |   1526
 PHX    | ATL  |  1587.00 |    412
 PHX    | AUS  |   872.00 |    263
 PHX    | BNA  |  1448.00 |     80
 PHX    | BUR  |   369.00 |    335
 PHX    | BWI  |  1999.00 |    168
 PHX    | CLE  |  1737.00 |     13
 PHX    | CLT  |  1774.00 |     24
 PHX    | COS  |   551.00 |    253
 PHX    | CVG  |  1569.00 |     87
 PHX    | DEN  |   602.00 |   1310
 PHX    | DFW  |   868.00 |    957
 PHX    | DRO  |   351.00 |     86
 PHX    | DSM  |  1149.00 |    251
 PHX    | DTW  |  1671.00 |    165
 PHX    | ELP  |   347.00 |   1039
 PHX    | EWR  |  2133.00 |     95
 PHX    | FLG  |   119.00 |    420
 PHX    | GCN  |   174.00 |     83
 PHX    | GJT  |   438.00 |     88
 PHX    | HOU  |  1020.00 |    293
 PHX    | IAH  |  1009.00 |    254
 PHX    | ICT  |   870.00 |    259
 PHX    | IND  |  1489.00 |    144
 PHX    | JFK  |  2153.00 |    331
 PHX    | LAS  |   256.00 |   2752
 PHX    | LAX  |   370.00 |   3701
 PHX    | LGB  |   355.00 |    175
 PHX    | LNK  |   983.00 |    160
 PHX    | MAF  |   580.00 |    157
 PHX    | MCI  |  1044.00 |    500
 PHX    | MDW  |  1444.00 |    256
 PHX    | MEM  |  1263.00 |    173
 PHX    | MSP  |  1276.00 |    340
 PHX    | OAK  |   646.00 |    408
 PHX    | OKC  |   833.00 |    305
 PHX    | OMA  |  1037.00 |    253
 PHX    | ONT  |   325.00 |   1336
 PHX    | ORD  |  1440.00 |   1100
 PHX    | PDX  |  1009.00 |    273
 PHX    | PIT  |  1813.00 |    259
 PHX    | PUB  |   538.00 |     91
 PHX    | RNO  |   601.00 |    166
 PHX    | SAN  |   304.00 |   1982
 PHX    | SAT  |   843.00 |    224
 PHX    | SEA  |  1107.00 |    261
 PHX    | SFO  |   651.00 |    782
 PHX    | SJC  |   621.00 |    399
 PHX    | SLC  |   507.00 |    761
 PHX    | SMF  |   647.00 |     86
 PHX    | SNA  |   338.00 |    620
 PHX    | STL  |  1262.00 |    476
 PHX    | TUL  |   935.00 |    221
 PHX    | TUS  |   110.00 |   1692
 PHX    | YUM  |   160.00 |    409
 PIA    | CID  |   135.00 |     58
 PIA    | CMI  |    86.00 |     68
 PIA    | DTW  |   346.00 |    131
 PIA    | MLI  |    69.00 |    376
 PIA    | STL  |   137.00 |    434
 PIE    | RDU  |   595.00 |    174
 PIE    | TPA  |    10.00 |      1
 PIR    | EWR  |  1351.00 |      1
 PIT    | ABE  |   253.00 |    341
 PIT    | ALB  |   367.00 |    341
 PIT    | ATL  |   526.00 |   1295
 PIT    | AVP  |   243.00 |    259
 PIT    | BDL  |   406.00 |    434
 PIT    | BGM  |   251.00 |    256
 PIT    | BNA  |   462.00 |    380
 PIT    | BOS  |   496.00 |    588
 PIT    | BTV  |   454.00 |    259
 PIT    | BUF  |   186.00 |    357
 PIT    | BWI  |   210.00 |    557
 PIT    | CLE  |   105.00 |    783
 PIT    | CLT  |   366.00 |    621
 PIT    | CMH  |   144.00 |    488
 PIT    | CRW  |   164.00 |    341
 PIT    | CVG  |   256.00 |    690
 PIT    | DAY  |   215.00 |    345
 PIT    | DCA  |   205.00 |    607
 PIT    | DEN  |  1290.00 |    428
 PIT    | DFW  |  1068.00 |    516
 PIT    | DTW  |   201.00 |    942
 PIT    | ELM  |   208.00 |    326
 PIT    | ERI  |   109.00 |    399
 PIT    | EWR  |   319.00 |   1144
 PIT    | FLL  |   994.00 |    199
 PIT    | GRR  |   319.00 |    281
 PIT    | GSO  |   304.00 |    263
 PIT    | GSP  |   401.00 |     87
 PIT    | HTS  |   192.00 |    154
 PIT    | IAD  |   183.00 |    345
 PIT    | IAH  |  1117.00 |    426
 PIT    | ICT  |   944.00 |     80
 PIT    | IND  |   325.00 |    433
 PIT    | ISP  |   375.00 |    262
 PIT    | ITH  |   239.00 |     84
 PIT    | JAX  |   695.00 |     91
 PIT    | JFK  |   340.00 |    487
 PIT    | LAX  |  2136.00 |    330
 PIT    | LEX  |   289.00 |    257
 PIT    | LGA  |   335.00 |    748
 PIT    | MCI  |   773.00 |    255
 PIT    | MCO  |   834.00 |    450
 PIT    | MDT  |   185.00 |    510
 PIT    | MEM  |   652.00 |    119
 PIT    | MHT  |   485.00 |     86
 PIT    | MIA  |  1013.00 |    223
 PIT    | MKE  |   431.00 |    242
 PIT    | MSP  |   726.00 |    378
 PIT    | MSY  |   918.00 |    257
 PIT    | ORD  |   412.00 |   1462
 PIT    | ORF  |   330.00 |    355
 PIT    | PBI  |   952.00 |    246
 PIT    | PHF  |   308.00 |    173
 PIT    | PHL  |   267.00 |   1010
 PIT    | PHX  |  1813.00 |    261
 PIT    | PVD  |   467.00 |    355
 PIT    | PWM  |   555.00 |    176
 PIT    | RDU  |   328.00 |    593
 PIT    | RIC  |   259.00 |    338
 PIT    | ROC  |   224.00 |    343
 PIT    | RSW  |   966.00 |    142
 PIT    | SAN  |  2106.00 |    116
 PIT    | SAT  |  1277.00 |    169
 PIT    | SDF  |   335.00 |    323
 PIT    | SFO  |  2254.00 |    337
 PIT    | STL  |   553.00 |    540
 PIT    | SYR  |   279.00 |    370
 PIT    | TOL  |   201.00 |    278
 PIT    | TPA  |   873.00 |    373
 PIT    | TRI  |   301.00 |    154
 PIT    | TYS  |   382.00 |    265
 PNS    | ATL  |   272.00 |    930
 PNS    | BTR  |   236.00 |    179
 PNS    | IAH  |   489.00 |    223
 PNS    | MCO  |   380.00 |    240
 PNS    | MOB  |    65.00 |     87
 PNS    | TPA  |   330.00 |    176
 PSC    | BOI  |   234.00 |     85
 PSC    | SEA  |   172.00 |     26
 PSC    | SFO  |   620.00 |    155
 PSC    | SLC  |   521.00 |    105
 PSC    | YKM  |    71.00 |     79
 PSG    | SIT  |    93.00 |     81
 PSG    | WRG  |    31.00 |     79
 PSP    | DEN  |   776.00 |    333
 PSP    | DFW  |  1126.00 |     56
 PSP    | LAS  |   173.00 |    236
 PSP    | ONT  |    65.00 |     84
 PSP    | ORD  |  1652.00 |    112
 PSP    | SBA  |   196.00 |     82
 PSP    | SFO  |   421.00 |    244
 PSP    | SJC  |   390.00 |     59
 PSP    | SLC  |   541.00 |     17
 PSP    | SNA  |    79.00 |     13
 PSP    | STL  |  1493.00 |     13
 PSP    | TUS  |   344.00 |     90
 PUB    | COS  |    37.00 |    175
 PUB    | LAS  |   607.00 |     85
 PUB    | PHX  |   538.00 |     87
 PVD    | ATL  |   903.00 |     90
 PVD    | BDL  |    66.00 |     54
 PVD    | BWI  |   328.00 |    257
 PVD    | DCA  |   357.00 |    569
 PVD    | DTW  |   614.00 |    246
 PVD    | EWR  |   160.00 |    320
 PVD    | MCO  |  1073.00 |     89
 PVD    | ORD  |   849.00 |    586
 PVD    | PHL  |   238.00 |    357
 PVD    | PIT  |   467.00 |    347
 PVD    | PWM  |   144.00 |     28
 PWM    | BGR  |   109.00 |     29
 PWM    | BOS  |    95.00 |    431
 PWM    | BTV  |   153.00 |     57
 PWM    | EWR  |   284.00 |    422
 PWM    | LGA  |   270.00 |    163
 PWM    | ORD  |   900.00 |    206
 PWM    | PHL  |   365.00 |    181
 PWM    | PIT  |   555.00 |    169
 RAP    | DEN  |   301.00 |    243
 RAP    | FSD  |   317.00 |    255
 RAP    | MSP  |   490.00 |    174
 RAP    | SLC  |   508.00 |    177
 RAP    | SUX  |   355.00 |     56
 RDD    | ACV  |   101.00 |    165
 RDD    | SFO  |   199.00 |    166
 RDM    | MFR  |   156.00 |     83
 RDM    | SFO  |   462.00 |     79
 RDU    | ATL  |   356.00 |   1419
 RDU    | BDL  |   532.00 |    269
 RDU    | BNA  |   443.00 |    172
 RDU    | BOS  |   612.00 |    280
 RDU    | BUF  |   487.00 |    269
 RDU    | BWI  |   255.00 |    359
 RDU    | CAE  |   188.00 |    275
 RDU    | CHS  |   217.00 |    269
 RDU    | CLE  |   416.00 |    264
 RDU    | CLT  |   130.00 |   1058
 RDU    | CVG  |   390.00 |    255
 RDU    | DAB  |   480.00 |    179
 RDU    | DCA  |   227.00 |    692
 RDU    | DFW  |  1062.00 |    355
 RDU    | DTW  |   501.00 |    260
 RDU    | EWR  |   416.00 |    738
 RDU    | FLL  |   680.00 |    267
 RDU    | GSO  |    67.00 |    424
 RDU    | GSP  |   205.00 |    174
 RDU    | IAD  |   224.00 |    204
 RDU    | ILM  |   122.00 |    257
 RDU    | ISP  |   459.00 |    266
 RDU    | JAX  |   408.00 |    268
 RDU    | JFK  |   426.00 |    175
 RDU    | LGA  |   431.00 |    604
 RDU    | MCO  |   534.00 |    358
 RDU    | MIA  |   700.00 |    296
 RDU    | MLB  |   547.00 |     89
 RDU    | MYR  |   152.00 |    189
 RDU    | ORD  |   647.00 |    520
 RDU    | ORF  |   160.00 |    596
 RDU    | PBI  |   638.00 |    264
 RDU    | PHL  |   336.00 |    519
 RDU    | PIE  |   595.00 |    178
 RDU    | PIT  |   328.00 |    597
 RDU    | RIC  |   139.00 |    139
 RDU    | ROA  |   120.00 |     78
 RDU    | ROC  |   503.00 |    202
 RDU    | RSW  |   667.00 |    181
 RDU    | SAV  |   293.00 |    263
 RDU    | SJU  |  1432.00 |     28
 RDU    | SRQ  |   625.00 |    267
 RDU    | STL  |   667.00 |    174
 RDU    | SYR  |   519.00 |    175
 RDU    | TPA  |   587.00 |    265
 RIC    | ATL  |   481.00 |    805
 RIC    | BOS  |   474.00 |     87
 RIC    | BWI  |   121.00 |    255
 RIC    | CLT  |   256.00 |    595
 RIC    | CVG  |   413.00 |    175
 RIC    | DFW  |  1158.00 |     67
 RIC    | EWR  |   278.00 |    392
 RIC    | GSO  |   175.00 |     68
 RIC    | IAD  |    99.00 |     73
 RIC    | JFK  |   288.00 |     91
 RIC    | LGA  |   292.00 |    312
 RIC    | ORD  |   642.00 |    443
 RIC    | ORF  |    75.00 |    288
 RIC    | PHF  |    52.00 |     30
 RIC    | PHL  |   198.00 |    219
 RIC    | PIT  |   259.00 |    329
 RIC    | RDU  |   139.00 |    193
 RIC    | ROA  |   147.00 |      7
 RIC    | SDF  |   463.00 |     77
 RNO    | BUR  |   374.00 |     88
 RNO    | DEN  |   804.00 |    613
 RNO    | DFW  |  1345.00 |    245
 RNO    | FAT  |   188.00 |    244
 RNO    | LAS  |   345.00 |    650
 RNO    | LAX  |   390.00 |    279
 RNO    | MSP  |  1406.00 |     84
 RNO    | ORD  |  1671.00 |    161
 RNO    | PDX  |   444.00 |    197
 RNO    | PHX  |   601.00 |    169
 RNO    | SEA  |   564.00 |    468
 RNO    | SFO  |   192.00 |   1491
 RNO    | SJC  |   188.00 |    271
 RNO    | SLC  |   422.00 |    415
 RNO    | SMF  |   113.00 |    207
 ROA    | ATL  |   357.00 |     60
 ROA    | BWI  |   221.00 |    238
 ROA    | CLT  |   155.00 |    548
 ROA    | CRW  |   114.00 |     87
 ROA    | EWR  |   389.00 |     59
 ROA    | LEX  |   258.00 |     28
 ROA    | LGA  |   405.00 |     84
 ROA    | ORD  |   531.00 |     72
 ROA    | PIT  |   219.00 |     44
 ROA    | RIC  |   147.00 |      2
 ROC    | ALB  |   198.00 |     78
 ROC    | ATL  |   749.00 |    163
 ROC    | BOS  |   343.00 |    372
 ROC    | BUF  |    55.00 |    164
 ROC    | BWI  |   277.00 |    424
 ROC    | CLE  |   245.00 |     91
 ROC    | DCA  |   296.00 |    253
 ROC    | DTW  |   296.00 |    396
 ROC    | EWR  |   246.00 |    759
 ROC    | IAD  |   289.00 |    320
 ROC    | JFK  |   264.00 |     83
 ROC    | LGA  |   254.00 |    585
 ROC    | ORD  |   528.00 |    850
 ROC    | PHL  |   257.00 |    426
 ROC    | PIT  |   224.00 |    352
 ROC    | RDU  |   503.00 |    198
 ROC    | SYR  |    79.00 |    342
 ROR    | GUM  |   813.00 |     61
 ROR    | YAP  |   283.00 |     27
 RST    | ALO  |    94.00 |    170
 RST    | MSP  |    76.00 |    362
 RSW    | ATL  |   515.00 |    837
 RSW    | CLE  |  1025.00 |     10
 RSW    | CVG  |   879.00 |     90
 RSW    | DFW  |  1017.00 |    103
 RSW    | DTW  |  1085.00 |     77
 RSW    | EWR  |  1068.00 |    177
 RSW    | FLL  |   104.00 |    163
 RSW    | IAD  |   890.00 |    166
 RSW    | JAX  |   272.00 |     84
 RSW    | JFK  |  1074.00 |     12
 RSW    | MCO  |   133.00 |    196
 RSW    | MEM  |   763.00 |    168
 RSW    | MIA  |   105.00 |     88
 RSW    | ORD  |  1120.00 |    154
 RSW    | PBI  |   103.00 |     31
 RSW    | PHL  |   992.00 |    237
 RSW    | PIT  |   966.00 |    150
 RSW    | RDU  |   667.00 |    274
 RSW    | SRQ  |    77.00 |    406
 RSW    | STL  |   979.00 |     87
 RSW    | TPA  |   110.00 |    354
 SAN    | ABQ  |   628.00 |     82
 SAN    | ATL  |  1891.00 |     86
 SAN    | BUR  |   122.00 |    138
 SAN    | CVG  |  1865.00 |     92
 SAN    | DEN  |   853.00 |    786
 SAN    | DFW  |  1171.00 |    775
 SAN    | DTW  |  1957.00 |    157
 SAN    | ELP  |   636.00 |     85
 SAN    | EWR  |  2425.00 |     76
 SAN    | HNL  |  2614.00 |     79
 SAN    | IAH  |  1303.00 |    278
 SAN    | JFK  |  2446.00 |     82
 SAN    | LAS  |   258.00 |    991
 SAN    | LAX  |   109.00 |   2303
 SAN    | LGB  |    93.00 |     12
 SAN    | MCI  |  1333.00 |    158
 SAN    | MSP  |  1532.00 |    177
 SAN    | OAK  |   446.00 |    709
 SAN    | ONT  |    94.00 |    213
 SAN    | ORD  |  1723.00 |    789
 SAN    | PHX  |   304.00 |   2017
 SAN    | PIT  |  2106.00 |    118
 SAN    | SEA  |  1050.00 |    154
 SAN    | SFO  |   447.00 |   1890
 SAN    | SJC  |   417.00 |   1023
 SAN    | SLC  |   626.00 |    268
 SAN    | SMF  |   480.00 |    282
 SAN    | SNA  |    76.00 |     27
 SAN    | STL  |  1558.00 |    250
 SAN    | TUS  |   367.00 |    166
 SAT    | ABQ  |   609.00 |     58
 SAT    | ATL  |   874.00 |    524
 SAT    | AUS  |    66.00 |    533
 SAT    | DAL  |   248.00 |    959
 SAT    | DEN  |   794.00 |    265
 SAT    | DFW  |   247.00 |   1646
 SAT    | ELP  |   496.00 |    313
 SAT    | EWR  |  1569.00 |     39
 SAT    | HOU  |   192.00 |   1333
 SAT    | HRL  |   233.00 |    172
 SAT    | IAH  |   191.00 |    622
 SAT    | LAS  |  1069.00 |    147
 SAT    | LAX  |  1210.00 |    169
 SAT    | MSY  |   495.00 |     78
 SAT    | ORD  |  1041.00 |    201
 SAT    | PHX  |   843.00 |    242
 SAT    | PIT  |  1277.00 |    182
 SAT    | SLC  |  1086.00 |     99
 SAT    | STL  |   786.00 |    396
 SAV    | ATL  |   215.00 |   1273
 SAV    | CAE  |   125.00 |     86
 SAV    | CHS  |    86.00 |    372
 SAV    | CLT  |   213.00 |    278
 SAV    | DFW  |   925.00 |     92
 SAV    | GSP  |   200.00 |     17
 SAV    | IAD  |   515.00 |     52
 SAV    | JAX  |   117.00 |    327
 SAV    | LGA  |   722.00 |    147
 SAV    | RDU  |   293.00 |    264
 SBA    | BFL  |    82.00 |    115
 SBA    | DEN  |   916.00 |    342
 SBA    | DFW  |  1315.00 |     90
 SBA    | LAX  |    89.00 |     55
 SBA    | ONT  |   130.00 |     91
 SBA    | ORD  |  1803.00 |     29
 SBA    | PSP  |   196.00 |     59
 SBA    | SFO  |   262.00 |    340
 SBN    | DAY  |   166.00 |    355
 SBN    | DTW  |   157.00 |    297
 SCC    | ANC  |   626.00 |    133
 SCK    | DEN  |   902.00 |     68
 SCK    | FAT  |   114.00 |    133
 SCK    | LAX  |   315.00 |    193
 SDF    | ATL  |   321.00 |    834
 SDF    | CLT  |   336.00 |    181
 SDF    | CVG  |    83.00 |    565
 SDF    | DAY  |   144.00 |    330
 SDF    | DCA  |   474.00 |    243
 SDF    | DEN  |  1023.00 |     84
 SDF    | DFW  |   733.00 |    443
 SDF    | DTW  |   306.00 |    224
 SDF    | EVV  |    98.00 |     78
 SDF    | GSO  |   351.00 |     77
 SDF    | IND  |   111.00 |    492
 SDF    | LEX  |    63.00 |    474
 SDF    | LGA  |   658.00 |    148
 SDF    | MEM  |   320.00 |    343
 SDF    | ORD  |   286.00 |    619
 SDF    | PIT  |   335.00 |    345
 SDF    | RIC  |   463.00 |    166
 SDF    | STL  |   254.00 |    429
 SEA    | ANC  |  1449.00 |   1411
 SEA    | ATL  |  2182.00 |    429
 SEA    | BLI  |    94.00 |    231
 SEA    | BOI  |   399.00 |    146
 SEA    | BUR  |   937.00 |     67
 SEA    | CLT  |  2279.00 |     85
 SEA    | CVG  |  1964.00 |     87
 SEA    | DEN  |  1024.00 |    798
 SEA    | DFW  |  1660.00 |    628
 SEA    | DTW  |  1927.00 |    164
 SEA    | GEG  |   224.00 |    995
 SEA    | HNL  |  2677.00 |    163
 SEA    | IAD  |  2306.00 |     86
 SEA    | IAH  |  1874.00 |     91
 SEA    | JFK  |  2421.00 |    161
 SEA    | JNU  |   909.00 |    146
 SEA    | KTN  |          |    245
 SEA    | LAS  |   866.00 |    153
 SEA    | LAX  |   954.00 |   1749
 SEA    | MCI  |  1489.00 |    173
 SEA    | MEM  |  1870.00 |     84
 SEA    | MSP  |  1399.00 |    404
 SEA    | OAK  |   671.00 |    387
 SEA    | ONT  |   956.00 |    140
 SEA    | ORD  |  1721.00 |    914
 SEA    | PDX  |   129.00 |   2246
 SEA    | PHX  |  1107.00 |    268
 SEA    | PSC  |   172.00 |     22
 SEA    | RNO  |   564.00 |    517
 SEA    | SAN  |  1050.00 |    147
 SEA    | SFO  |   679.00 |   1965
 SEA    | SJC  |   697.00 |    632
 SEA    | SLC  |   689.00 |    437
 SEA    | SMF  |   605.00 |    255
 SEA    | SNA  |   978.00 |    226
 SEA    | STL  |  1710.00 |    230
 SFO    | ABQ  |   896.00 |    178
 SFO    | ACV  |   250.00 |    160
 SFO    | ATL  |  2139.00 |    509
 SFO    | BFL  |   238.00 |     30
 SFO    | BOI  |   522.00 |    347
 SFO    | BOS  |  2704.00 |    156
 SFO    | BUR  |   326.00 |   1417
 SFO    | CLE  |  2161.00 |     88
 SFO    | CLT  |  2296.00 |    178
 SFO    | CVG  |  2036.00 |    170
 SFO    | DAY  |  2051.00 |     84
 SFO    | DEN  |   967.00 |   1370
 SFO    | DFW  |  1464.00 |   1093
 SFO    | DTW  |  2079.00 |    316
 SFO    | ELP  |   993.00 |     72
 SFO    | EUG  |   451.00 |    534
 SFO    | EWR  |  2565.00 |    324
 SFO    | FAT  |   158.00 |    333
 SFO    | GEG  |   733.00 |    498
 SFO    | HDN  |   838.00 |      3
 SFO    | HNL  |  2398.00 |    844
 SFO    | IAD  |  2419.00 |    341
 SFO    | IAH  |  1635.00 |    490
 SFO    | IND  |  1944.00 |     79
